region;country;clab;rname;eu;dens;fert;nmigr;natg;life;lifef;lifem;gdp_pc;inc_pc;empl;emplf;emplm;unempl;unemplf;unemplm;hedu;heduf;hedum;ledu;leduf;ledum
AT11:Burgenland (AT);Austria;AT;Burgenland (AT);y;78,4;1,33;6,5;-3,5;81,4;83,5;79,3;24,4;20,4;73,1;68,4;77,7;5,2;5,9;4,7;28,5;26,7;30,3;6;7,2;4,8
AT12:Niederösterreich;Austria;AT;Niederösterreich;y;86,2;1,51;7;-1,2;81,3;83,7;78,8;28,9;21,5;76,3;72,2;80,5;5,2;4,9;5,5;30,3;28,1;32,6;6,9;5,6;8,1
AT13:Wien;Austria;AT;Wien;y;4506,8;1,42;14,6;1,8;80,5;82,9;77,9;43,5;20,4;67,7;65;70,5;10,6;8,8;12,2;39,3;39,3;39,3;10,2;9,5;11
AT21:Kärnten;Austria;AT;Kärnten;y;59,4;1,43;4,2;-1,9;81,8;84,4;79,1;29,7;19,9;72,1;68;76,2;6,1;5,8;6,2;28,3;28,2;28,5;5;4,3;5,6
AT22:Steiermark;Austria;AT;Steiermark;y;74,9;1,36;5,8;-1,2;82;84,4;79,5;32;20,2;74;69,5;78,4;4,7;4,8;4,7;26,7;24,4;28,9;5;6;4,1
AT31:Oberösterreich;Austria;AT;Oberösterreich;y;122,1;1,61;5,3;1,3;82;84,5;79,4;36,1;20,7;77,7;73,4;81,9;4,1;4;4,2;27,5;25,5;29,5;7,4;6,1;8,7
AT32:Salzburg;Austria;AT;Salzburg;y;76;1,55;5,2;2,1;82,6;85;80,1;41,6;21,1;77,3;72,9;81,8;3,5;3,4;3,6;30,2;29,3;31,1;6,6;5,3;8
AT33:Tirol;Austria;AT;Tirol;y;57,9;1,45;7,5;2;82,8;84,7;80,7;38;20,4;77,9;73,1;82,7;3;3;3;26,4;24,6;28,1;6,2;5,9;6,5
AT34:Vorarlberg;Austria;AT;Vorarlberg;y;148,7;1,62;4,2;3,4;83,1;85,7;80,3;38,2;21,5;78,3;72,3;84,3;3,5;3,7;3,3;26,5;24,2;28,8;9;9,9;8,1
BE10:Rég. Bruxelles / Brussels Gewest;Belgium;BE;Rég. Bruxelles / Brussels Gewest;y;7393,4;1,88;2,9;8;81,1;83,7;78,2;57;15,5;58,7;53,2;64,3;17,3;15,8;18,5;43,4;44,7;42;15,8;14,8;16,9
BE21:Prov. Antwerpen;Belgium;BE;Prov. Antwerpen;y;648,7;1,8;2,4;2,5;82,2;84,3;80,1;37,9;17,6;70,4;66,2;74,6;6,1;5,7;6,5;37,6;40,4;34,8;7,3;6,3;8,3
BE22:Prov. Limburg (BE);Belgium;BE;Prov. Limburg (BE);y;360,2;1,62;2,1;1,9;82,7;85;80,5;27;16,8;68,7;64,5;72,9;6;4,6;7,1;32,1;36,6;27,6;8,6;5,7;11,3
BE23:Prov. Oost-Vlaanderen;Belgium;BE;Prov. Oost-Vlaanderen;y;500,8;1,67;3,9;1,2;82,1;84,8;79,3;29,7;18,4;73,1;69,9;76,2;4,4;4;4,8;37,5;41,4;33,6;7,9;5,8;10,1
BE24:Prov. Vlaams-Brabant;Belgium;BE;Prov. Vlaams-Brabant;y;529,3;1,71;4,4;1,5;82,6;85;80,1;35,3;20,2;73,6;70;77,4;5,1;4,9;5,3;44,7;47,2;42,1;4,7;4,1;5,2
BE25:Prov. West-Vlaanderen;Belgium;BE;Prov. West-Vlaanderen;y;377,7;1,67;3,1;-0,9;82,3;85;79,6;31,7;17,9;73,6;70,3;76,8;4,2;3,4;4,9;32,8;36,2;29,6;7,5;6,6;8,4
BE31:Prov. Brabant Wallon;Belgium;BE;Prov. Brabant Wallon;y;360,3;1,71;5,7;1,1;81,7;84,2;79,1;35,8;18,9;69,2;65;73,5;7,8;7,8;7,9;54,1;58,9;49;4,1;3,8;4,4
BE32:Prov. Hainaut;Belgium;BE;Prov. Hainaut;y;354;1,76;2,3;-0,1;78,9;81,9;75,9;21;14,8;58;54,2;62;13,3;12,1;14,4;27,2;31,2;23,2;15,9;14;17,6
BE33:Prov. Liège;Belgium;BE;Prov. Liège;y;286,1;1,73;1,4;0,8;79,9;82,4;77,3;23,8;15,3;60,8;56,3;65,3;12,8;12,5;13,1;33,9;36;31,8;15,5;12,7;18,3
